station_id,Aluminium,Ammonium,Boron,Chloride,Coli-like-bacteria-Colilert,Coli-like-bacteria,Colony-count-at-22-C,Color-Pt-Co-unit,Color-Pt/Co-scale,Electrical-conductivity,Enterococci,Escherichia-coli-Colilert,Escherichia-coli,Fluoride,Iron,Manganese,Nitrate,Nitrite,Odour-dilution-level,Oxidability,Smell-ball-units,Sodium,Sulphate,Taste-ball-units,Taste-dilution-degree,Turbidity-NTU,pH ,compliance
487.0,26.544,0.05,0.5857900000000003,6.540000000000003,0.0,0.0,6.14,1.8,2.483,474.0,0.16,0.0,0.0,1.0307999999999995,20.0,22.19169999999999,12.656699999999992,0.0154099999999999,1.2,1.2127,0.0,29.955000000000013,9.595999999999997,0.0,1.0,1.6,7.8,0.0
1555.0,17.435,0.05,0.1029399999999998,5.529000000000002,3.3960000000000004,0.0,0.0,2.833,0.0,465.0,0.0,0.0,0.0,0.2532000000000001,20.0,10.37,13.621099999999997,0.00253,1.0,1.716799999999999,0.92,7.3679999999999986,11.39199999999999,1.16,1.0,1.0,7.3,0.0
205.0,13.571,0.05,0.0782899999999999,3.3890000000000016,0.0,0.0,0.0,7.724999999999997,0.0,448.0,0.0,0.0,0.0,0.2307999999999998,20.0,10.0,1.4815000000000005,0.01329,1.0,1.0633999999999997,0.89,16.714000000000006,6.330000000000001,1.22,1.0,1.0,7.8,0.0
1228.0,12.204,0.09,0.641,208.985,155.281,0.0,15.0,5.606999999999998,4.0,978.0,0.05,2.048,0.0,1.36,21.0,16.517999999999997,0.7543000000000007,0.003,2.02,1.3057,1.0,92.209,74.995,1.0,2.41,0.5,7.44,0.0
470.0,21.785,0.06,0.5951100000000001,23.244,226.19500000000005,0.0,1.0,6.6,10.961999999999994,446.0,0.09,2.048,0.0,0.8776999999999997,84.0,167.41769999999994,0.9726,0.0364199999999999,2.19,1.7343000000000004,0.0,59.12800000000003,14.152999999999995,0.0,1.99,0.2,7.7,0.0
614.0,27.628,0.12,0.7782299999999996,24.526000000000003,31.257000000000023,0.0,97.0,6.669999999999999,3.0,500.0,0.0,0.0,0.0,1.5,100.0,16.278999999999996,0.5309000000000003,0.00501,2.0,1.0047,1.0,47.836000000000034,19.931,1.0,1.99,0.5,8.64,0.0
1420.0,8.360999999999997,0.08914,0.1853499999999999,20.954,0.0,0.0,53.0,4.848000000000002,4.0,240.0,0.12,0.0,0.0,0.7392000000000003,49.0,5.0,0.7955000000000011,0.01008,1.0,0.9559,0.94,32.097000000000016,8.682999999999996,1.41,1.0,1.0,7.5,0.0
188.0,13.605,0.23,0.61161,153.31999999999996,8.915,0.0,17.0,7.266999999999997,7.414,889.0,0.0,0.0,0.0,0.8942,250.0,47.41399999999999,0.8138000000000002,0.00511,2.02,2.0177000000000005,0.0,52.92299999999998,54.825,0.0,1.98,0.5,7.45,1.0
1286.0,18.835999999999995,0.2,0.24779,4.597000000000001,5.048000000000002,0.0,54.39,5.199,6.0,640.0,0.1,0.0,0.0,0.3305000000000001,240.0,46.69799999999999,0.6720000000000005,0.0218399999999999,4.57,1.4449,1.48,18.488999999999997,2.1520000000000006,1.17,4.29,0.72,7.5,1.0
736.0,4.843059999999999,0.05,0.2427499999999997,132.68399999999997,9.759999999999998,0.0,33.0,4.972999999999996,9.0,835.0,0.0,0.0,0.0,0.79,82.0,5.0,0.6993000000000006,0.00384,2.02,2.1,1.0,48.2,44.0,1.0,1.98,0.5,7.53,0.0
