station_id,Aluminium_2019,Aluminium_2020,Ammonium_2019,Ammonium_2020,Boron_2019,Boron_2020,Chloride_2019,Chloride_2020,Coli-like-bacteria-Colilert_2019,Coli-like-bacteria-Colilert_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt-Co-unit_2019,Color-Pt-Co-unit_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Enterococci_2019,Enterococci_2020,Escherichia-coli-Colilert_2019,Escherichia-coli-Colilert_2020,Escherichia-coli_2019,Escherichia-coli_2020,Fluoride_2019,Fluoride_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Nitrate_2019,Nitrate_2020,Nitrite_2019,Nitrite_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Oxidability_2019,Oxidability_2020,Smell-ball-units_2019,Smell-ball-units_2020,Sodium_2019,Sodium_2020,Sulphate_2019,Sulphate_2020,Taste-ball-units_2019,Taste-ball-units_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
487.0,40.115,23.745,0.05,0.05,0.49304000000000026,3.3745699999999967,17.988,13.312000000000003,1.574,0.8,0.0,0.0,3.46,13.37,1.8,1.9,2.6289999999999996,2.834000000000002,474.0,473.0,0.0,0.0,0.0,0.02,0.0,0.0,0.9349999999999994,1.0768000000000004,20.0,20.0,16.430999999999997,109.418,9.49679999999999,0.9916000000000004,0.014879999999999996,0.012319999999999996,1.33,1.87,1.2145,1.3363,0.0,0.0,21.977999999999998,28.823999999999998,10.828999999999999,12.656,0.0,0.0,1.0,1.9,1.6,0.2,7.8,7.6,0.0,0.0,0.0
1555.0,6.9460000000000015,6.124,0.05,0.05,0.11538999999999984,0.10551599999999983,2.9009999999999985,3.7340000000000013,3.5430000000000006,1.59,0.0,0.0,0.0,0.0,6.791000000000001,5.032999999999999,0.0,0.0,465.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5802000000000003,0.6934,20.0,20.0,10.45,11.126,1.3634000000000004,1.7731999999999997,0.0020500000000000015,0.0022200000000000015,1.0,1.0,1.830399999999998,2.4415,0.17,0.54,21.268999999999995,26.11599999999999,10.744999999999996,11.493,0.17,0.83,1.0,1.0,1.0,1.0,7.3,7.1,0.0,0.0,0.0
205.0,16.763,10.0,0.05,0.24,0.10938999999999986,0.1,3.0100000000000007,4.340999999999999,0.0,1.84,0.0,0.0,0.0,0.0,8.020999999999995,5.061999999999998,0.0,0.0,448.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22919999999999988,0.1,20.0,21.0,10.0,10.0,1.1437000000000002,1.63509,0.014820000000000007,0.012520000000000002,1.0,1.0,1.0503999999999996,1.5336000000000005,0.94,0.82,25.38720000000001,23.627,4.931000000000003,6.217000000000002,0.86,1.05,1.0,1.0,1.0,1.0,7.8,7.7,0.0,0.0,0.0
1228.0,10.599000000000007,26.724,0.09,0.05,0.641,0.932,202.78100000000003,183.045,7.715,16.58600000000001,0.0,0.0,15.0,2.0,5.906999999999999,2.3150000000000004,4.0,4.0,978.0,920.0,0.0,0.0,0.0,0.14,0.0,0.0,1.36,1.5,21.0,10.0,14.968700000000002,27.794000000000004,0.8110000000000006,1.0636000000000003,0.003,0.003,2.06,1.93,1.418999999999999,1.7868999999999997,1.0,1.0,99.15299999999998,101.51299999999998,59.09,61.41800000000001,1.0,1.0,1.93,1.99,0.5,0.5,7.44,7.58,0.0,0.0,0.0
470.0,14.515000000000002,26.731000000000012,0.06,0.05,0.5244200000000003,1.9398900000000003,28.10599999999999,23.606000000000005,28.844,4.6,0.0,2.0,1.0,31.0,6.6,5.0,10.994999999999994,17.321000000000005,446.0,579.0,0.0,0.0,2.048,0.06,0.0,0.0,1.0090999999999992,1.1158000000000008,84.0,3500.0,17.863,265.782,0.9221000000000003,2.142649999999999,0.014889999999999992,0.012239999999999997,2.12,1.88,1.1929000000000007,1.4169999999999998,0.0,0.0,60.011000000000024,48.28000000000001,10.409,16.102,0.0,0.0,1.79,2.0,0.2,44.0,7.7,8.0,0.0,1.0,0.0
614.0,21.739000000000004,24.078000000000003,0.12,0.13,0.7096200000000005,1.0566200000000003,67.819,63.816999999999986,17.445000000000007,17.824,0.0,0.0,97.0,300.0,6.084999999999999,2.721,3.0,3.0,500.0,505.0,0.0,0.0,0.0,0.04,0.0,0.0,1.5,1.36,100.0,110.0,17.137700000000006,42.86,0.6331000000000004,0.5662900000000001,0.004120000000000002,0.0075700000000000055,1.0,1.88,0.8614999999999998,1.4087999999999992,1.0,1.0,50.40400000000004,61.64600000000004,11.959999999999997,11.076,1.0,1.0,1.0,1.58,0.5,0.5,8.64,8.45,0.0,0.0,1.0
1420.0,4.95,5.0,0.05273999999999989,0.05021999999999991,0.2231799999999998,0.20396999999999996,23.41,22.803,0.0,0.0,0.0,0.0,53.0,15.0,4.977000000000001,4.893,4.0,4.0,240.0,213.0,0.28,0.0,0.0,0.0,0.0,0.0,0.6607999999999998,0.6928000000000003,49.0,53.0,5.0,5.0,0.5719000000000005,0.5917999999999999,0.009890000000000008,0.010160000000000008,1.0,2.0,1.0276000000000003,1.0981,1.06,0.97,33.566,41.00199999999999,7.583000000000001,8.174,0.96,1.03,1.0,2.0,1.0,1.0,7.5,8.0,0.0,0.0,0.0
188.0,12.336000000000002,9.454,0.23,0.14576000000000008,0.3087799999999999,0.29998,161.77999999999997,188.35499999999993,7.09,1.57,0.0,0.0,17.0,74.0,7.307999999999997,5.137999999999997,7.705999999999997,9.880999999999998,889.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6772999999999999,0.6806000000000002,250.0,280.0,47.07869999999999,27.252,0.9849,1.2819000000000003,0.004390000000000002,0.007690000000000005,2.09,1.96,1.6825999999999994,2.145399999999999,0.0,0.0,52.01699999999997,51.756,59.71,55.56100000000001,0.0,0.0,1.82,1.99,0.5,0.5,7.45,7.4,1.0,1.0,0.0
1286.0,18.498999999999995,50.0,0.2,0.23,0.6586100000000001,0.091,5.418000000000001,6.5,5.477,0.0,0.0,0.0,71.67,0.0,5.298999999999999,2.355999999999999,6.0,4.2,640.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36619999999999997,0.52,240.0,150.0,109.15300000000003,36.0,0.4774999999999999,0.04,0.009540000000000005,0.003,4.37,2.01,1.2066999999999997,1.8,1.55,0.87,14.915000000000004,15.0,1.6340000000000003,1.1,1.17,1.14,4.05,1.99,0.72,0.5,7.5,7.7,1.0,0.0,1.0
736.0,5.145,4.838019999999999,0.05,0.05957999999999996,0.2441299999999998,0.23107999999999992,127.523,107.68799999999997,7.074,0.07,0.0,0.0,33.0,26.0,5.117000000000001,4.922,9.0,11.0,835.0,822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.07,82.0,68.0,5.0,9.239000000000003,0.7903000000000007,1.1650000000000005,0.0046600000000000035,0.0054900000000000036,2.05,2.01,2.1,1.6887,1.0,1.0,48.2,49.77,44.0,45.091,1.0,1.0,1.97,1.99,0.5,0.5,7.53,7.26,0.0,0.0,0.0
